Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Variant SKU,Variant Price,Variant Inventory Qty,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Image Src,Image Alt Text
jia-jia-winter-blanket-006-blue-patchwork-floral,1Ply Jia Jia Winter Blanket 006 - Blue Patchwork Floral,"<p>The 1Ply Jia Jia Winter Blanket 006 is a plush, heavyweight mink-style winter blanket in a blue and cream patchwork design with a pebble texture, featuring floral damask scroll motifs across navy, light blue and cream blocks, finished with a soft blue border. Wonderfully warm, soft and cosy for cold winter nights. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,430.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318743091-ds1w4b.webp,1Ply Jia Jia Winter Blanket 006 - Blue Patchwork Floral
jia-jia-winter-blanket-007-charcoal-filigree,1Ply Jia Jia Winter Blanket 007 - Charcoal Filigree,"<p>The 1Ply Jia Jia Winter Blanket 007 is a plush, heavyweight mink-style winter blanket in charcoal grey with a pebble texture, featuring large cream swirling filigree scroll motifs across the surface. Wonderfully warm, soft and cosy for cold winter nights. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,430.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318744673-psaudv.webp,1Ply Jia Jia Winter Blanket 007 - Charcoal Filigree
jia-jia-winter-blanket-008-purple-floral,1Ply Jia Jia Winter Blanket 008 - Purple Floral,"<p>The 1Ply Jia Jia Winter Blanket 008 is a plush, heavyweight mink-style winter blanket with a purple honeycomb-textured border and a cream central panel featuring large purple roses, magenta blossoms and soft brown leaves. Wonderfully warm, soft and cosy for cold winter nights. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,430.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318744616-7zrvtl.webp,1Ply Jia Jia Winter Blanket 008 - Purple Floral
little-sheep-blanket-black-white-leopard,1PLY Little Sheep Blanket- Black & White Leopard,"<p>A luxuriously soft black &amp; white leopard 1PLY Little Sheep mink blanket. Its plush, velvety pile keeps you warm and cosy through the cold winter months, while the elegant design adds a touch of warmth to any bedroom. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,795.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/products/little-sheep-blanket-black-white-leopard-1783737396180.jpg,1PLY Little Sheep Blanket- Black & White Leopard
little-sheep-blanket-blush-floral,1PLY Little Sheep Blanket- Blush Floral,"<p>A luxuriously soft blush floral 1PLY Little Sheep mink blanket. Its plush, velvety pile keeps you warm and cosy through the cold winter months, while the elegant design adds a touch of warmth to any bedroom. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,795.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/products/little-sheep-blanket-blush-floral-1783737395660.jpg,1PLY Little Sheep Blanket- Blush Floral
little-sheep-blanket-brown-leopard,1PLY Little Sheep Blanket- Brown Leopard,"<p>A luxuriously soft brown leopard 1PLY Little Sheep mink blanket. Its plush, velvety pile keeps you warm and cosy through the cold winter months, while the elegant design adds a touch of warmth to any bedroom. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,795.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/products/little-sheep-blanket-brown-leopard-1783737395299.jpg,1PLY Little Sheep Blanket- Brown Leopard
little-sheep-blanket-brown-paisley,1PLY Little Sheep Blanket- Brown Paisley,"<p>A luxuriously soft brown paisley 1PLY Little Sheep mink blanket. Its plush, velvety pile keeps you warm and cosy through the cold winter months, while the elegant design adds a touch of warmth to any bedroom. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,795.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/products/little-sheep-blanket-brown-paisley-1783737394939.jpg,1PLY Little Sheep Blanket- Brown Paisley
little-sheep-blanket-grey-floral,1PLY Little Sheep Blanket- Grey Floral,"<p>A luxuriously soft grey floral 1PLY Little Sheep mink blanket. Its plush, velvety pile keeps you warm and cosy through the cold winter months, while the elegant design adds a touch of warmth to any bedroom. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,795.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/products/little-sheep-blanket-grey-floral-1783737393749.jpg,1PLY Little Sheep Blanket- Grey Floral
little-sheep-blanket-silver-rose,1PLY Little Sheep Blanket- Silver Rose,"<p>A luxuriously soft silver rose 1PLY Little Sheep mink blanket. Its plush, velvety pile keeps you warm and cosy through the cold winter months, while the elegant design adds a touch of warmth to any bedroom. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,795.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/products/little-sheep-blanket-silver-rose-1783737394523.jpg,1PLY Little Sheep Blanket- Silver Rose
1ply-quality-winter-blanket-aqua-floral,1Ply Quality Winter Blanket-Aqua Floral,"<p>The 1Ply Quality Winter Blanket in Aqua Floral is a soft, warm single-ply mink blanket featuring sky-blue and charcoal tones with rust-orange peonies and a damask trim. Cosy and luxurious for cold winter nights.</p>",Agri Hub SA,Bedding,bedding,TRUE,,550.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318760537-hb8uuj.webp,1Ply Quality Winter Blanket-Aqua Floral
1ply-quality-winter-blanket-beige-geometric,1Ply Quality Winter Blanket-Beige Geometric,"<p>The 1Ply Quality Winter Blanket in Beige Geometric is a soft, warm single-ply mink blanket featuring cream and brown geometric tiles with blue accents and floral bursts. Cosy and luxurious for cold winter nights.</p>",Agri Hub SA,Bedding,bedding,TRUE,,550.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318760954-bzzzt9.webp,1Ply Quality Winter Blanket-Beige Geometric
1ply-quality-winter-blanket-blue-leopard,1Ply Quality Winter Blanket-Blue Leopard,"<p>The 1Ply Quality Winter Blanket in Blue Leopard is a soft, warm single-ply mink blanket featuring a cream base with a blue leopard-spot print and an elegant paisley border. Cosy and luxurious for cold winter nights.</p>",Agri Hub SA,Bedding,bedding,TRUE,,550.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318760395-t1hy1c.webp,1Ply Quality Winter Blanket-Blue Leopard
1ply-quality-winter-blanket-blue-peony,1Ply Quality Winter Blanket-Blue Peony,"<p>The 1Ply Quality Winter Blanket in Blue Peony is a soft, warm single-ply mink blanket featuring a royal blue and yellow plaid frame with a pink peony centre. Cosy and luxurious for cold winter nights.</p>",Agri Hub SA,Bedding,bedding,TRUE,,550.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318760766-3501yz.webp,1Ply Quality Winter Blanket-Blue Peony
1ply-quality-winter-blanket-brown-floral,1Ply Quality Winter Blanket-Brown Floral,"<p>The 1Ply Quality Winter Blanket in Brown Floral is a soft, warm single-ply mink blanket featuring a brown and cream checkered design with a rich brown floral bouquet. Cosy and luxurious for cold winter nights.</p>",Agri Hub SA,Bedding,bedding,TRUE,,550.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318760730-tcdcti.webp,1Ply Quality Winter Blanket-Brown Floral
1ply-quality-winter-blanket-brown-rose,1Ply Quality Winter Blanket-Brown Rose,"<p>The 1Ply Quality Winter Blanket in Brown Rose is a soft, warm single-ply mink blanket featuring a brown and cream design with red roses, hearts and elegant lettering. Cosy and luxurious for cold winter nights.</p>",Agri Hub SA,Bedding,bedding,TRUE,,550.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318760690-8bkdqb.webp,1Ply Quality Winter Blanket-Brown Rose
1ply-quality-winter-blanket-grey-floral,1Ply Quality Winter Blanket-Grey Floral,"<p>The 1Ply Quality Winter Blanket in Grey Floral is a soft, warm single-ply mink blanket featuring grey and black tones with white roses and a checkered border. Cosy and luxurious for cold winter nights.</p>",Agri Hub SA,Bedding,bedding,TRUE,,550.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318761308-3dsegl.webp,1Ply Quality Winter Blanket-Grey Floral
1ply-quality-winter-blanket-royal-blue-rose,1Ply Quality Winter Blanket-Royal Blue Rose,"<p>The 1Ply Quality Winter Blanket in Royal Blue Rose is a soft, warm single-ply mink blanket featuring a royal blue base with blue roses and ornate gold baroque scrollwork. Cosy and luxurious for cold winter nights.</p>",Agri Hub SA,Bedding,bedding,TRUE,,550.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/optimized/1783318761197-p49nkn.webp,1Ply Quality Winter Blanket-Royal Blue Rose
24pcs-stainless-steel-gold-cutlery,24pcs Stainless Steel Gold Cutlery,"<p>Elegant 24-piece gold stainless steel cutlery set in presentation box. Includes forks, knives, spoons, and teaspoons. Perfect for special occasions.</p>",Agri Hub SA,Kitchenware,kitchenware,TRUE,HL-CUTLERY-001,350.00,100,shopify,deny,manual,https://agrihubsa.co.za/products/home-living/24pcs-gold-cutlery.jpg,24pcs Stainless Steel Gold Cutlery
2l-electric-glass-kettle,2L Electric Glass Kettle,"<p>Premium 2L electric glass kettle with blue LED indicator light. Fast boiling with automatic shut-off feature. Perfect for tea, coffee, and hot beverages.</p>",Agri Hub SA,Kitchenware,kitchenware,TRUE,HL-KETTLE-001,275.00,100,shopify,deny,manual,https://agrihubsa.co.za/products/home-living/electric-glass-kettle.jpg,2L Electric Glass Kettle
2pcs-coffee-table,2pcs Coffee Table,<p>Elegant set of 2 round coffee tables with black marble-effect tops and gold metal legs. Perfect for modern living rooms. Nest together for space saving.</p>,Agri Hub SA,Kitchenware,kitchenware,TRUE,HL-TABLE-001,650.00,100,shopify,deny,manual,https://agrihubsa.co.za/products/home-living/2pcs-coffee-table.jpg,2pcs Coffee Table
3pcs-bakeware-set,3pcs Bakeware Set,<p>Professional 3-piece ceramic bakeware set in white. Includes various sizes for all your baking needs. Oven safe and easy to clean.</p>,Agri Hub SA,Kitchenware,kitchenware,TRUE,HL-BAKE-001,550.00,100,shopify,deny,manual,https://agrihubsa.co.za/products/home-living/3pcs-bakeware-set.jpg,3pcs Bakeware Set
cordury-mattress-protector-camel,3pcs Cordury Mattress Protector- Camel,"<p>A plush camel 3pcs corduroy mattress protector set featuring a soft ribbed velvety surface and a deep elasticated fitted skirt for a secure, wrinkle-free fit. Includes matching pieces to keep your mattress warm, comfortable and protected. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,350.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/products/cordury-mattress-protector-camel-1783738523740.jpg,3pcs Cordury Mattress Protector- Camel
cordury-mattress-protector-charcoal,3pcs Cordury Mattress Protector- Charcoal,"<p>A plush charcoal 3pcs corduroy mattress protector set featuring a soft ribbed velvety surface and a deep elasticated fitted skirt for a secure, wrinkle-free fit. Includes matching pieces to keep your mattress warm, comfortable and protected. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,350.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/products/cordury-mattress-protector-charcoal-1783738522617.jpg,3pcs Cordury Mattress Protector- Charcoal
cordury-mattress-protector-green,3pcs Cordury Mattress Protector- Green,"<p>A plush green 3pcs corduroy mattress protector set featuring a soft ribbed velvety surface and a deep elasticated fitted skirt for a secure, wrinkle-free fit. Includes matching pieces to keep your mattress warm, comfortable and protected. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,350.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/products/cordury-mattress-protector-green-1783738525022.jpg,3pcs Cordury Mattress Protector- Green
cordury-mattress-protector-pink,3pcs Cordury Mattress Protector- Pink,"<p>A plush pink 3pcs corduroy mattress protector set featuring a soft ribbed velvety surface and a deep elasticated fitted skirt for a secure, wrinkle-free fit. Includes matching pieces to keep your mattress warm, comfortable and protected. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,350.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/products/cordury-mattress-protector-pink-1783738524601.jpg,3pcs Cordury Mattress Protector- Pink
cordury-mattress-protector-red,3pcs Cordury Mattress Protector- Red,"<p>A plush red 3pcs corduroy mattress protector set featuring a soft ribbed velvety surface and a deep elasticated fitted skirt for a secure, wrinkle-free fit. Includes matching pieces to keep your mattress warm, comfortable and protected. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,350.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/products/cordury-mattress-protector-red-1783738524154.jpg,3pcs Cordury Mattress Protector- Red
cordury-mattress-protector-white,3pcs Cordury Mattress Protector- White,"<p>A plush white 3pcs corduroy mattress protector set featuring a soft ribbed velvety surface and a deep elasticated fitted skirt for a secure, wrinkle-free fit. Includes matching pieces to keep your mattress warm, comfortable and protected. Made from 100% polyester.</p>",Agri Hub SA,Bedding,bedding,TRUE,,350.00,50,shopify,deny,manual,https://tkhnvcciiwg6evoc.public.blob.vercel-storage.com/products/cordury-mattress-protector-white-1783738523373.jpg,3pcs Cordury Mattress Protector- White
3pcs-plastic-fruit-basket,3pcs Plastic Fruit Basket,<p>3-piece plastic fruit basket set in elegant design. Perfect for storing and displaying fruits on your kitchen counter.</p>,Agri Hub SA,Kitchenware,kitchenware,TRUE,HL-FRUIT-001,320.00,100,shopify,deny,manual,https://agrihubsa.co.za/products/home-living/3pcs-plastic-fruit-basket.jpg,3pcs Plastic Fruit Basket
3pcs-plastic-tray-set,3pcs Plastic Tray Set,"<p>Set of 3 elegant plastic serving trays with gold trim. Available in multiple colors. Perfect for serving snacks, drinks, or decorative display.</p>",Agri Hub SA,Kitchenware,kitchenware,TRUE,HL-TRAY-001,240.00,100,shopify,deny,manual,https://agrihubsa.co.za/products/home-living/3pcs-plastic-tray-set.jpg,3pcs Plastic Tray Set
3pcs-stainless-steel-food-warmer,3pcs Stainless Steel Multifunction Food Warmer,"<p>Set of 3 stainless steel food warmers with lids. Perfect for buffets, parties, and keeping food warm. Elegant design for any occasion.</p>",Agri Hub SA,Kitchenware,kitchenware,TRUE,HL-WARM-001,595.00,100,shopify,deny,manual,https://agrihubsa.co.za/products/home-living/3pcs-stainless-steel-food-warmer.jpg,3pcs Stainless Steel Multifunction Food Warmer
3pcs-valvet-mattress-protector-winter-bedsheet-charcoal,3pcs Valvet Mattress protector/Winter bedsheet-Charcoal,"<p>Plush velvet fitted mattress protector set (3 pieces) that doubles as a cosy winter bedsheet. Soft, warm and skin-friendly with a deep elasticated skirt for a snug fit, plus matching pillow covers. Colour: Charcoal.</p>",Agri Hub SA,Bedding,bedding,TRUE,VMP-CHARCOAL-3PCS,255.00,25,shopify,deny,manual,https://hebbkx1anhila5yf.public.blob.vercel-storage.com/image-ge1KxOf8qtpWimGMXJ3z3jAIWwBHn6.png,3pcs Valvet Mattress protector/Winter bedsheet-Charcoal
3pcs-valvet-mattress-protector-winter-bedsheet-coffee,3pcs Valvet Mattress protector/Winter bedsheet-Coffee,"<p>Plush velvet fitted mattress protector set (3 pieces) that doubles as a cosy winter bedsheet. Soft, warm and skin-friendly with a deep elasticated skirt for a snug fit, plus matching pillow covers. Colour: Coffee.</p>",Agri Hub SA,Bedding,bedding,TRUE,VMP-COFFEE-3PCS,255.00,25,shopify,deny,manual,https://hebbkx1anhila5yf.public.blob.vercel-storage.com/image-fcSAsNGmAmcM3srSphhCYjafqQVKcd.png,3pcs Valvet Mattress protector/Winter bedsheet-Coffee
3pcs-valvet-mattress-protector-winter-bedsheet-emerald,3pcs Valvet Mattress protector/Winter bedsheet-Emerald,"<p>Plush velvet fitted mattress protector set (3 pieces) that doubles as a cosy winter bedsheet. Soft, warm and skin-friendly with a deep elasticated skirt for a snug fit, plus matching pillow covers. Colour: Emerald.</p>",Agri Hub SA,Bedding,bedding,TRUE,VMP-EMERALD-3PCS,255.00,25,shopify,deny,manual,https://hebbkx1anhila5yf.public.blob.vercel-storage.com/image-hAl7M1TMTZt8idTh1bSYbOEzO8iWcZ.png,3pcs Valvet Mattress protector/Winter bedsheet-Emerald
3pcs-valvet-mattress-protector-winter-bedsheet-maroon,3pcs Valvet Mattress protector/Winter bedsheet-Maroon,"<p>Plush velvet fitted mattress protector set (3 pieces) that doubles as a cosy winter bedsheet. Soft, warm and skin-friendly with a deep elasticated skirt for a snug fit, plus matching pillow covers. Colour: Maroon.</p>",Agri Hub SA,Bedding,bedding,TRUE,VMP-MAROON-3PCS,255.00,25,shopify,deny,manual,https://hebbkx1anhila5yf.public.blob.vercel-storage.com/image-9LedMUKxIIZ3Qul5jYiZemudlzcrkO.png,3pcs Valvet Mattress protector/Winter bedsheet-Maroon
3pcs-valvet-mattress-protector-winter-bedsheet-pink,3pcs Valvet Mattress protector/Winter bedsheet-Pink,"<p>Plush velvet fitted mattress protector set (3 pieces) that doubles as a cosy winter bedsheet. Soft, warm and skin-friendly with a deep elasticated skirt for a snug fit, plus matching pillow covers. Colour: Pink.</p>",Agri Hub SA,Bedding,bedding,TRUE,VMP-PINK-3PCS,255.00,25,shopify,deny,manual,https://hebbkx1anhila5yf.public.blob.vercel-storage.com/image-xsooz6bRCAYe8EazZ3F51AcxFRNuqB.png,3pcs Valvet Mattress protector/Winter bedsheet-Pink
